,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,HS__1.5Unf,HS__1Story,HS__2.5Fin,HS__2.5Unf,HS__2Story,HS__SFoyer,HS__SLvl,EQ__Fa,EQ__Gd,EQ__TA,HQC__Fa,HQC__Gd,HQC__Po,HQC__TA,KQ__Fa,KQ__Gd,KQ__TA
0,8450,7,5,2003,196.0,856,1710,2,1,3,8,0,548,0,61,2,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,9600,6,8,1976,0.0,1262,1262,2,0,3,6,1,460,298,0,5,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,11250,7,5,2001,162.0,920,1786,2,1,3,6,1,608,0,42,9,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,9550,7,5,1915,0.0,756,1717,1,0,3,7,1,642,0,35,2,2006,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
4,14260,8,5,2000,350.0,1145,2198,2,1,4,9,1,836,192,84,12,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
5,14115,5,5,1993,0.0,796,1362,1,1,1,5,0,480,40,30,10,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,10084,8,5,2004,186.0,1686,1694,2,0,3,7,1,636,255,57,8,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,10382,7,6,1973,240.0,1107,2090,2,1,3,7,2,484,235,204,11,2009,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
8,6120,7,5,1931,0.0,952,1774,2,0,2,8,2,468,90,0,4,2008,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,7420,5,6,1939,0.0,991,1077,1,0,2,5,2,205,0,4,1,2008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10,11200,5,5,1965,0.0,1040,1040,1,0,3,5,0,384,0,0,2,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,11924,9,5,2005,286.0,1175,2324,3,0,4,11,2,736,147,21,7,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12968,5,6,1962,0.0,912,912,1,0,2,4,0,352,140,0,9,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
13,10652,7,5,2006,306.0,1494,1494,2,0,3,7,1,840,160,33,8,2007,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14,10920,6,5,1960,212.0,1253,1253,1,1,2,5,1,352,0,213,5,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
15,6120,7,8,1929,0.0,832,854,1,0,2,5,0,576,48,112,7,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,11241,6,7,1970,180.0,1004,1004,1,0,2,5,1,480,0,0,3,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,10791,4,5,1967,0.0,0,1296,2,0,2,6,0,516,0,0,10,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
18,13695,5,5,2004,0.0,1114,1114,1,1,3,6,0,576,0,102,6,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,7560,5,6,1958,0.0,1029,1339,1,0,3,6,0,294,0,0,5,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
20,14215,8,5,2005,380.0,1158,2376,3,1,4,9,1,853,240,154,11,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
21,7449,7,7,1930,0.0,637,1108,1,0,3,6,1,280,0,0,6,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,9742,8,5,2002,281.0,1777,1795,2,0,3,7,1,534,171,159,9,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,4224,5,7,1976,0.0,1040,1060,1,0,3,6,1,572,100,110,6,2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
24,8246,5,8,1968,0.0,1060,1060,1,0,3,6,1,270,406,90,5,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,14230,8,5,2007,640.0,1566,1600,2,0,3,7,1,890,0,56,7,2009,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26,7200,5,7,1951,0.0,900,900,1,0,3,5,0,576,222,32,5,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
27,11478,8,5,2007,200.0,1704,1704,2,0,3,7,1,772,0,50,5,2010,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28,16321,5,6,1957,0.0,1484,1600,1,0,2,6,2,319,288,258,12,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
29,6324,4,6,1927,0.0,520,520,1,0,1,4,0,240,49,0,5,2008,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
30,8500,4,4,1920,0.0,649,1317,1,0,3,6,0,250,0,54,7,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
31,8544,5,6,1966,0.0,1228,1228,1,1,3,6,0,271,0,65,6,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
32,11049,8,5,2007,0.0,1234,1234,2,0,3,7,0,484,0,30,1,2008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,10552,5,5,1959,0.0,1398,1700,1,1,4,6,1,447,0,38,4,2010,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
34,7313,9,5,2005,246.0,1561,1561,2,0,2,6,1,556,203,47,8,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,13418,8,5,2004,132.0,1117,2452,3,1,4,9,1,691,113,32,9,2006,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
36,10859,5,5,1994,0.0,1097,1097,1,1,3,6,0,672,392,64,6,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,8532,5,6,1954,650.0,1297,1297,1,0,3,5,1,498,0,0,10,2009,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38,7922,5,7,1953,0.0,1057,1057,1,0,3,5,0,246,0,52,1,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
39,6040,4,5,1955,0.0,0,1152,2,0,2,6,0,0,0,0,6,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
